"nama_silver","nama_dim_dosen","prodi","fakultas","judul_proposal","sitasi","doi","jurnal","jurnal_kategori","tanggal_terbit_hari","tanggal_terbit_bulan","tanggal_terbit_tahun"
"Misbahudin Alhanif.","","TEKNIK KIMIA","FAKULTAS TEKNOLOGI INDUSTRI","Unlocking the prebiotic carbohydrates: Insights into the types, preparation, health benefits and future utilizations of selected Indonesian exotic fruit seeds as a potential &#8230;","2","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","0","0"
"Miskar Maini.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Karakteristik Koefisien Kekasaran Manning pada Aliran dengan Transpor Sedimen di Sungai Way Lunik","1","","SINTA 5","NASIONAL","0","0","0"
"Miskar Maini.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","IDENTIFIKASI KARAKTERISTIK DISTRIBUSI UKURAN BUTIR DAN KETIDAKSERAGAMAN SEDIMEN PADA SUNGAI WAY LUNIK","1","https://doi.org/10.52447/jkts.v10i1.8133","SINTA 2","NASIONAL","0","3","2025"
"Miskar Maini.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Pendampingan Teknis Identifikasi Pedagang untuk Proyek Relokasi dan Perluasan Pasar Muntok di Kabupaten Bangka Barat","5","https://doi.org/10.59837/jpmba.v2i12.2032","JURNAL NASIONAL","NASIONAL","12","2","2025"
"Miskar Maini.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Kolaborasi Pemangku Kepentingan dalam Identifikasi Penentuan Lokasi Pembangunan Gedung Galeri Dekranasda Kota Pangkalpinang","5","https://doi.org/10.59837/jpmba.v2i12.2031","JURNAL NASIONAL","NASIONAL","12","2","2025"
"Mochammad Fathurridho Hermanto.","","TEKNIK KELAUTAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Western Lampung Offshore Wind and Wave Data Correlation Analysis","1","https://doi.org/10.35472/jsat.v8i2.2012","SINTA 3","NASIONAL","0","2","2025"
"Mohamad Idris.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Pemanfaatan Kecerdasan Buatan sebagai Alat Bantu Diagnosis di Bidang Kesehatan: Literatur Review: Mohamad Idris, Angga Wijaya, Linda Septiani, Terza Aflika Happy, Risti Graharti","2","https://doi.org/10.23960/jkunila.v9i1.pp117-121","JURNAL NASIONAL","NASIONAL","29","6","2025"
"Mugi Praseptiawan.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Investigation of Malware Redline Stealer using Static and Dynamic Analysis Method Forensic","6","https://doi.org/10.37934/araset.48.2.4962","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","6","2025"
"Mugi Praseptiawan.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","A Forensic Intelligence System for Identification of Data Originality Based on Signature Files","1","https://doi.org/10.37934/araset.48.1.193204","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","6","2025"
"Muhammad Abdul Mubdi Bindar.","","PERENCANAAN WILAYAH DAN KOTA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Pengembangan Lampu Jalan Otomatis Berbasis Sensor Cahaya Sebagai Infrastruktur Cerdas di Desa Sukajadi Lampung","2","https://doi.org/10.21107/pangabdhi.v11i1.29471","SINTA 4","NASIONAL","0","0","0"
"Muhammad Arhan Rajab.","","SAINS LINGKUNGAN KELAUTAN","FAKULTAS SAINS","KKN Pemberdayaan Masyarakat Pesisir dalam Bidang Pendidikan, Kesehatan dan Teknologi Informasi Untuk Mendukung Pengembangan Desa Wisata Kelawi Mandiri dan Berkelanjutan","1","","SINTA 4","NASIONAL","0","0","0"
"Muhammad Asril.","","BIOLOGI","FAKULTAS SAINS","Microbiological Status of Three Quality Categories Tiger Shrimp After Land Distribution Process (Case Study: Selili Fishing Port, Samarinda, Indonesia).","1","https://doi.org/10.22034/FSCT.21.155.103","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","0","0"
"Muhammad Asril.","","BIOLOGI","FAKULTAS SAINS","Improved eumelanin production, phenolic content, flavonoid content, and antioxidant activity by Streptomyces lasalocidi NTB 42 following copper sulfate supplementation","6","https://doi.org/10.1016/j.bcab.2025.103602","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","0","0"
"Muhammad Hakiem Sedo Putra.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Analisa Komposisi Sampah yang Dihasilkan Berdasarkan Sifat dan Karakternya di Kampus Institut Teknologi Sumatera 2023","1","","SINTA 5","NASIONAL","0","1","2025"
"Muhammad Hakiem Sedo Putra.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Analisis Kebutuhan Air Irigasi Menggunakan Software Cropwat 8.0 (Studi Kasus: Daerah Irigasi Sekampung Batanghari)","1","","SINTA 2","NASIONAL","17","3","2025"
